categories,latitude,longitude,display_phone,phone,unique_id,unique_alias,image_url,is_closed,location,name,price,rating,recommended_review_count,unrecommended_review_count,url,transactions
"[{'alias': 'italian', 'title': 'Italian'}]",47.5674,-122.40933,(206) 932-3020,+12069323020,0zOQ6gbOERAi-FoeM4fAig,la-rustica-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/G-Gz_SglrIHyiWoWu3iXEA/o.jpg,False,"{'address1': '4100 Beach Dr SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4100 Beach Dr SW', 'Seattle, WA 98116']}",La Rustica,$$$,4.0,472,67,https://www.yelp.com/biz/la-rustica-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['delivery', 'pickup']"
"[{'alias': 'musicvideo', 'title': 'Music & DVDs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]",47.5612799,-122.38696,(206) 938-3279,+12069383279,7a0RMXo2h7puzsB7btFfPA,easy-street-records-and-cafe-seattle-4,https://s3-media3.fl.yelpcdn.com/bphoto/NpF3Ui3mZQNIHhMIhYiRvQ/o.jpg,False,"{'address1': '4559 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4559 California Ave SW', 'Seattle, WA 98116']}",Easy Street Records & Cafe,$$,4.0,605,74,https://www.yelp.com/biz/easy-street-records-and-cafe-seattle-4?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",47.560101,-122.383012,,,0u3wpP_C69Tjmhe8nXnPzw,sound-and-fog-seattle,https://s3-media3.fl.yelpcdn.com/bphoto/dwklhCLbsODGoXNhI7V7gg/o.jpg,False,"{'address1': '4735 40th Ave SW', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4735 40th Ave SW', 'Seattle, WA 98116']}",Sound & Fog,$,5.0,167,8,https://www.yelp.com/biz/sound-and-fog-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",47.546536,-122.387666,(206) 402-4606,+12064024606,wfumpPAmHic9jEOQvq2mAg,the-bridge-seattle-3,https://s3-media4.fl.yelpcdn.com/bphoto/p6i9-PXXpMsX_JTUcmxtXA/o.jpg,False,"{'address1': '6301 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98136', 'country': 'US', 'state': 'WA', 'display_address': ['6301 California Ave SW', 'Seattle, WA 98136']}",The Bridge,$$,4.0,313,30,https://www.yelp.com/biz/the-bridge-seattle-3?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['delivery', 'pickup']"
"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}]",47.56135,-122.38656,(206) 937-7809,+12069377809,LaF6ZwGWP-y8pAs5M3LUBQ,jaks-grill-seattle,https://s3-media1.fl.yelpcdn.com/bphoto/j1quWJMM5SZk8AVvGjCczg/o.jpg,False,"{'address1': '4548 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4548 California Ave SW', 'Seattle, WA 98116']}",JaK's Grill,$$,4.0,564,83,https://www.yelp.com/biz/jaks-grill-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'brewpubs', 'title': 'Brewpubs'}]",47.5604,-122.3864,(206) 932-8695,+12069328695,AfhmXDoZ4XuhsMAIUg2Dhw,elliott-bay-brewery-pub-seattle,https://s3-media3.fl.yelpcdn.com/bphoto/FxFZWaMvDfDK5b0XSHkNsg/o.jpg,False,"{'address1': '4720 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4720 California Ave SW', 'Seattle, WA 98116']}",Elliott Bay Brewery Pub,$$,4.0,499,59,https://www.yelp.com/biz/elliott-bay-brewery-pub-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['pickup', 'delivery']"
"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",47.53156,-122.37618,(206) 937-8977,+12069378977,crZp5-JAsKgWkW1akEYJsQ,the-westy-seattle-2,https://s3-media3.fl.yelpcdn.com/bphoto/Q938o4Iphh1d3S2vCYJPyQ/o.jpg,False,"{'address1': '7908 35th Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98126', 'country': 'US', 'state': 'WA', 'display_address': ['7908 35th Ave SW', 'Seattle, WA 98126']}",The Westy,$$,4.0,249,21,https://www.yelp.com/biz/the-westy-seattle-2?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'japanese', 'title': 'Japanese'}]",47.54454,-122.37675,(206) 402-4388,+12064024388,M892Bwhnuc6YEJOt9e4ohw,grillbird-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/LKCqVJjgBlA-ZHmSy5O2_g/o.jpg,False,"{'address1': '6501 35th Ave SW', 'address2': None, 'address3': None, 'city': 'Seattle', 'zip_code': '98126', 'country': 'US', 'state': 'WA', 'display_address': ['6501 35th Ave SW', 'Seattle, WA 98126']}",Grillbird,$$,4.5,274,12,https://www.yelp.com/biz/grillbird-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['pickup', 'delivery']"
"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}]",47.5226097,-122.3768997,(206) 582-2140,+12065822140,vCbf2DGzH1W1L6-jZDNoGw,west-seattle-fish-house-seattle,https://s3-media3.fl.yelpcdn.com/bphoto/sUK33jgBa7f0VkSkq_GMtw/o.jpg,False,"{'address1': '9005 35th Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98126', 'country': 'US', 'state': 'WA', 'display_address': ['9005 35th Ave SW', 'Seattle, WA 98126']}",West Seattle Fish House,$,4.5,194,19,https://www.yelp.com/biz/west-seattle-fish-house-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",47.53661,-122.39251,(206) 353-4046,+12063534046,hXZra7Wa8Pt2bapuPNsvRw,taquitos-feliz-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/aY3tAOpUqB1lR56_TtEKSQ/o.jpg,False,"{'address1': '7427 Fauntleroy Way SW', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98136', 'country': 'US', 'state': 'WA', 'display_address': ['7427 Fauntleroy Way SW', 'Seattle, WA 98136']}",Taquitos Feliz,$,4.5,127,9,https://www.yelp.com/biz/taquitos-feliz-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'smokehouse', 'title': 'Smokehouse'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",47.56223,-122.38706,(206) 457-4029,+12064574029,oMy_YkyYr8u1_xs_WHkn8w,lady-jaye-seattle,https://s3-media3.fl.yelpcdn.com/bphoto/5mI2rQ14Qu5WFgYl_R0dUA/o.jpg,False,"{'address1': '4523 California Ave SW', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4523 California Ave SW', 'Seattle, WA 98116']}",Lady Jaye,$$,4.5,144,12,https://www.yelp.com/biz/lady-jaye-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}]",47.56366450644102,-122.38692820072174,(206) 938-7576,+12069387576,YfPrEl86xGoGVltE8QgRGg,seattle-fish-company-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/1cryhr0ZKjFgZkaiUe1_2w/o.jpg,False,"{'address1': '4435 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4435 California Ave SW', 'Seattle, WA 98116']}",Seattle Fish Company,$$,4.0,464,53,https://www.yelp.com/biz/seattle-fish-company-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['pickup', 'delivery']"
"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",47.561475,-122.386385,(206) 932-9988,+12069329988,Z97VSt5eR_1_4VASp-TkjQ,the-matador-seattle,https://s3-media4.fl.yelpcdn.com/bphoto/68F72H71B6fVSPvHJioGcQ/o.jpg,False,"{'address1': '4546 California Ave SW', 'address2': None, 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4546 California Ave SW', 'Seattle, WA 98116']}",The Matador,$$,3.5,641,64,https://www.yelp.com/biz/the-matador-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['pickup', 'delivery']"
"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",47.56207,-122.38509,(206) 420-8880,+12064208880,IrohtoYjnAR_vc6w6CRCxA,moto-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/FBmvjyC1wH7-N_lIE_M_lQ/o.jpg,False,"{'address1': '4526 42nd Ave SW', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4526 42nd Ave SW', 'Seattle, WA 98116']}",Moto,,5.0,90,4,https://www.yelp.com/biz/moto-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",47.55948,-122.38661,(425) 417-6797,+14254176797,x4Hc_lSTZWrvSMn5xhxDTw,great-american-diner-and-bar-seattle-2,https://s3-media4.fl.yelpcdn.com/bphoto/vXHdxukKVDcJy383MS5tbw/o.jpg,False,"{'address1': '4752 California Ave SW', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4752 California Ave SW', 'Seattle, WA 98116']}",Great American Diner & Bar,$$,4.0,366,51,https://www.yelp.com/biz/great-american-diner-and-bar-seattle-2?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['pickup', 'delivery']"
"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'falafel', 'title': 'Falafel'}]",47.55968,-122.38658,(206) 325-2335,+12063252335,GJpNfDXU1QYpdM5HIn8ZDA,falafel-salam-seattle-7,https://s3-media1.fl.yelpcdn.com/bphoto/1Lam_NxKR2JIOs-klYQm6w/o.jpg,False,"{'address1': '4746 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4746 California Ave SW', 'Seattle, WA 98116']}",Falafel Salam,$,4.5,176,9,https://www.yelp.com/biz/falafel-salam-seattle-7?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,[]
"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",47.5609351,-122.385813,(206) 456-4343,+12064564343,1J9piPXgUDlSxL5-cpygFQ,a-la-mode-pies-west-seattle-seattle-2,https://s3-media2.fl.yelpcdn.com/bphoto/jyAwILLG1SiCosyj--OhzA/o.jpg,False,"{'address1': '4225 SW Alaska St', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4225 SW Alaska St', 'Seattle, WA 98116']}",A La Mode Pies West Seattle,$,4.0,260,10,https://www.yelp.com/biz/a-la-mode-pies-west-seattle-seattle-2?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['pickup', 'delivery']"
"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'buffets', 'title': 'Buffets'}]",47.56163,-122.38655,(206) 935-9443,+12069359443,WiPw_V03ZhYugDNevaEXNg,maharaja-cuisine-of-india-seattle-3,https://s3-media1.fl.yelpcdn.com/bphoto/msA5a8l1qzkt5ojXbiPSlg/o.jpg,False,"{'address1': '4542 California Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4542 California Ave SW', 'Seattle, WA 98116']}",Maharaja Cuisine of India,$$,3.5,565,73,https://www.yelp.com/biz/maharaja-cuisine-of-india-seattle-3?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,"['pickup', 'delivery']"
"[{'alias': 'japanese', 'title': 'Japanese'}]",47.56079525508695,-122.3849628,(206) 937-8374,+12069378374,LLK14LlPRKbZwKkbZCKxsQ,nikko-teriyaki-seattle,https://s3-media2.fl.yelpcdn.com/bphoto/zeruEReFSm_JoEIjnEA2XQ/o.jpg,False,"{'address1': '4710 42nd Ave SW', 'address2': '', 'address3': '', 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4710 42nd Ave SW', 'Seattle, WA 98116']}",Nikko Teriyaki,$,4.5,189,28,https://www.yelp.com/biz/nikko-teriyaki-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'salad', 'title': 'Salad'}]",47.5212092105903,-122.390180432645,(206) 257-1196,+12062571196,Tc_fb2HHKcg_aPEZccNlyw,wildwood-market-seattle,https://s3-media3.fl.yelpcdn.com/bphoto/lTfa7V2JOF2z4NFSTgjxZg/o.jpg,False,"{'address1': '9214 45th Ave SW', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98136', 'country': 'US', 'state': 'WA', 'display_address': ['9214 45th Ave SW', 'Seattle, WA 98136']}",Wildwood Market,$$,4.0,107,13,https://www.yelp.com/biz/wildwood-market-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,['delivery']
"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",47.5651027485655,-122.387065950985,(206) 397-3775,+12063973775,uTh0BMlaqBtjx2ws-hsqQg,raccolto-seattle,https://s3-media3.fl.yelpcdn.com/bphoto/yY_xy6Ud_P2ULzaL2rRntg/o.jpg,False,"{'address1': '4147 California Ave SW', 'address2': '', 'address3': None, 'city': 'Seattle', 'zip_code': '98116', 'country': 'US', 'state': 'WA', 'display_address': ['4147 California Ave SW', 'Seattle, WA 98116']}",Raccolto,$$$,4.0,231,15,https://www.yelp.com/biz/raccolto-seattle?adjust_creative=m0p_ijEYt-_sLoK9ZhaTXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=m0p_ijEYt-_sLoK9ZhaTXw,[]
